2021.01.05 13:11:49 INFO  web[][DbMigrations] #3007 'Populate NEW_CODE_PERIOD table'...
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3007 'Populate NEW_CODE_PERIOD table': success | time=19ms
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3008 'Remove leak period properties'...
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3008 'Remove leak period properties': success | time=4ms
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3009 'Remove GitHub login generation strategy property'...
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3009 'Remove GitHub login generation strategy property': success | time=4ms
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3100 'Create ALM_SETTINGS table'...
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3100 'Create ALM_SETTINGS table': success | time=3ms
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3101 'Create PROJECT_ALM_SETTINGS table'...
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3101 'Create PROJECT_ALM_SETTINGS table': success | time=4ms
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3102 'Migrate property 'sonar.alm.github.app.privateKey.secured' to 'sonar.alm.github.app.privateKeyContent.secured''...
2021.01.05 13:11:49 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3102 'Migrate property 'sonar.alm.github.app.privateKey.secured' to 'sonar.alm.github.app.privateKeyContent.secured'': success | time=9ms
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3103 'Migrate GitHub ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3103 'Migrate GitHub ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=5ms
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3104 'Migrate Bitbucket ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3104 'Migrate Bitbucket ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=5ms
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3105 'Migrate Azure ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3105 'Migrate Azure ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=5ms
2021.01.05 13:11:49 INFO  web[][DbMigrations] #3106 'Delete 'sonar.pullrequest.provider' property'...
2021.01.05 13:11:49 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3106 'Delete 'sonar.pullrequest.provider' property': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3107 'Migrate default branches to keep global setting'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3107 'Migrate default branches to keep global setting': success | time=8ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3108 'Add EXCLUDE_FROM_PURGE column'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3108 'Add EXCLUDE_FROM_PURGE column': success | time=6ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3109 'Populate EXCLUDE_FROM_PURGE column'...
